,num_contacts_traced,num_positive_contacts,contact_tracing_time,num_sympt_patients_traced,hcw_time_of_infection,hcw_current_ward,num_sympt_hcws_traced,day,sim,prevalence,n_total,n_pos,pos_rate
9111,10,0,160.78472222222223,0.0,155.0,9.0,0.0,160.0,60.0,0.003875968992248,1125.0,2.0,0.0
9112,8,0,101.84722222222224,7.0,97.0,4.0,0.0,101.0,60.0,0.2076677316293929,1209.0,124.0,0.0
9113,11,0,97.95833333333331,1.0,89.95138888888889,24.0,3.0,97.0,60.0,0.2394822006472491,1219.0,152.0,0.0
9114,9,0,84.50694444444444,0.0,80.0,5.0,0.0,84.0,60.0,0.1397849462365591,1151.0,88.0,0.0
9115,7,0,100.875,0.0,94.125,21.0,0.0,100.0,60.0,0.2300319488817891,1221.0,143.0,0.0
9116,7,0,92.99305555555556,3.0,86.0,8.0,0.0,92.0,60.0,0.2771929824561403,1195.0,166.0,0.0
9117,8,0,78.46527777777777,0.0,73.0,3.0,0.0,78.0,60.0,0.036,1124.0,29.0,0.0
9118,22,0,94.95833333333331,6.0,83.66666666666667,3.0,1.0,94.0,60.0,0.2770700636942675,1216.0,174.0,0.0
9119,11,1,94.39583333333331,0.0,88.08333333333333,17.0,2.0,94.0,60.0,0.2770700636942675,1227.0,173.0,9.090909090909092
9120,8,1,122.54166666666669,1.0,117.54166666666669,17.0,1.0,122.0,60.0,0.0814814814814814,1150.0,40.0,12.5
9121,15,0,95.70833333333331,0.0,91.08333333333331,28.0,2.0,95.0,60.0,0.2571428571428571,1227.0,169.0,0.0
9122,3,0,101.79166666666669,14.0,99.0,3.0,0.0,101.0,60.0,0.2076677316293929,1214.0,124.0,0.0
9123,4,0,122.875,1.0,118.0,6.0,0.0,122.0,60.0,0.0814814814814814,1154.0,41.0,0.0
9124,16,0,131.89583333333334,2.0,122.0,11.0,0.0,131.0,60.0,0.0344827586206896,1126.0,15.0,0.0
9125,3,0,75.38194444444444,0.0,71.0,5.0,0.0,75.0,60.0,0.012,1126.0,22.0,0.0
9126,7,0,97.78472222222224,5.0,92.0,8.0,0.0,97.0,60.0,0.2394822006472491,1223.0,152.0,0.0
9127,12,0,98.15277777777776,0.0,96.0,20.0,0.0,98.0,60.0,0.2271186440677966,1204.0,145.0,0.0
9128,9,1,91.29166666666669,1.0,83.77777777777777,14.0,2.0,91.0,60.0,0.25,1187.0,158.0,11.11111111111111
9129,14,0,87.51388888888889,0.0,78.0,21.0,0.0,87.0,60.0,0.1892857142857142,1161.0,126.0,0.0
9130,9,3,119.34027777777776,0.0,112.0,19.0,0.0,119.0,60.0,0.1220472440944882,1132.0,47.0,33.33333333333333
9131,5,0,105.48611111111111,2.0,99.0,8.0,0.0,105.0,60.0,0.2058823529411764,1198.0,105.0,0.0
9132,7,0,79.9375,0.0,77.0,1.0,0.0,79.0,60.0,0.0597609561752988,1126.0,45.0,0.0
9133,9,0,110.125,0.0,105.0,9.0,0.0,110.0,60.0,0.1626297577854671,1171.0,73.0,0.0
9134,8,2,99.9375,9.0,95.0,1.0,0.0,99.0,60.0,0.2290322580645161,1217.0,144.0,25.0
9135,13,0,115.8125,0.0,107.5,11.0,0.0,115.0,60.0,0.1482889733840304,1136.0,59.0,0.0
9136,15,0,102.17361111111111,5.0,99.0,5.0,1.0,102.0,60.0,0.2079207920792079,1187.0,116.0,0.0
