,Total_transmission,P-N_count,P-HC_count,N-P_count,N-HC_count,N-N_count,HC-P_count,HC-N_count,HC-HC_count,HCW_community_trans_count,Total_trans_non_covid_wards,Total_trans_covid_wards,Asympt_patient_admission_count,Exposed_patient_admission_count,Total_patients_admitted,Num_susceptible_patients,num_replacement_hcw,trans_counts_from_pre_symptomatic,trans_counts_from_symptomatic,trans_counts_from_assymptomatic,Trans_count_patients,P-N,P-HC,N-P,N-HC,N-N,HC-P,HC-N,HC-HC
42,346.0,88.0,29.0,142.0,2.0,27.0,44.0,12.0,2.0,135.0,330.0,16.0,0.0,2.0,9879.0,9719.0,233.0,232.0,6.0,108.0,186.0,25.433526011560694,8.38150289017341,41.040462427745666,0.5780346820809249,7.803468208092486,12.716763005780347,3.468208092485549,0.5780346820809249
43,300.0,79.0,33.0,113.0,7.0,20.0,42.0,4.0,2.0,121.0,287.0,13.0,2.0,3.0,10062.0,9899.0,196.0,203.0,6.0,91.0,155.0,26.333333333333332,11.0,37.666666666666664,2.3333333333333335,6.666666666666667,14.0,1.3333333333333333,0.6666666666666666
44,292.0,86.0,23.0,101.0,6.0,21.0,46.0,8.0,1.0,137.0,272.0,20.0,1.0,3.0,9863.0,9701.0,219.0,181.0,11.0,100.0,147.0,29.45205479452055,7.876712328767123,34.58904109589041,2.0547945205479454,7.191780821917808,15.753424657534246,2.73972602739726,0.3424657534246575
45,264.0,65.0,24.0,104.0,5.0,21.0,34.0,7.0,4.0,142.0,249.0,15.0,0.0,4.0,9963.0,9801.0,203.0,176.0,6.0,82.0,138.0,24.62121212121212,9.090909090909092,39.39393939393939,1.893939393939394,7.954545454545454,12.878787878787879,2.6515151515151514,1.5151515151515151
46,252.0,67.0,19.0,85.0,6.0,20.0,42.0,9.0,4.0,138.0,233.0,19.0,1.0,0.0,10038.0,9879.0,181.0,175.0,6.0,71.0,127.0,26.58730158730159,7.5396825396825395,33.73015873015873,2.380952380952381,7.936507936507937,16.666666666666668,3.5714285714285716,1.5873015873015872
47,336.0,100.0,25.0,141.0,7.0,11.0,42.0,8.0,2.0,129.0,327.0,9.0,0.0,1.0,9882.0,9723.0,220.0,244.0,3.0,89.0,183.0,29.761904761904763,7.440476190476191,41.964285714285715,2.0833333333333335,3.2738095238095237,12.5,2.380952380952381,0.5952380952380952
48,253.0,68.0,24.0,94.0,2.0,16.0,39.0,8.0,2.0,132.0,244.0,9.0,0.0,0.0,9901.0,9743.0,203.0,185.0,4.0,64.0,133.0,26.877470355731226,9.486166007905139,37.15415019762846,0.7905138339920948,6.324110671936759,15.41501976284585,3.1620553359683794,0.7905138339920948
49,276.0,77.0,23.0,109.0,6.0,14.0,43.0,2.0,2.0,107.0,259.0,17.0,0.0,2.0,9830.0,9670.0,171.0,196.0,10.0,70.0,152.0,27.89855072463768,8.333333333333334,39.492753623188406,2.1739130434782608,5.072463768115942,15.579710144927537,0.7246376811594203,0.7246376811594203
50,275.0,76.0,27.0,92.0,9.0,13.0,49.0,8.0,1.0,135.0,257.0,18.0,1.0,2.0,9782.0,9621.0,211.0,182.0,9.0,84.0,141.0,27.636363636363637,9.818181818181818,33.45454545454545,3.272727272727273,4.7272727272727275,17.818181818181817,2.909090909090909,0.36363636363636365
51,314.0,76.0,35.0,129.0,10.0,16.0,41.0,7.0,0.0,123.0,299.0,15.0,0.0,1.0,9952.0,9793.0,219.0,227.0,6.0,81.0,170.0,24.203821656050955,11.146496815286625,41.0828025477707,3.1847133757961785,5.095541401273885,13.05732484076433,2.229299363057325,0.0
52,229.0,54.0,21.0,89.0,7.0,16.0,30.0,11.0,1.0,114.0,220.0,9.0,0.0,2.0,9823.0,9663.0,173.0,159.0,3.0,67.0,119.0,23.580786026200872,9.170305676855895,38.8646288209607,3.056768558951965,6.986899563318778,13.100436681222707,4.8034934497816595,0.4366812227074236
53,386.0,118.0,30.0,145.0,12.0,21.0,48.0,10.0,2.0,122.0,374.0,12.0,0.0,2.0,10018.0,9858.0,240.0,257.0,5.0,124.0,193.0,30.569948186528496,7.772020725388601,37.56476683937824,3.1088082901554404,5.4404145077720205,12.435233160621761,2.5906735751295336,0.5181347150259067
54,281.0,72.0,32.0,108.0,7.0,15.0,37.0,9.0,1.0,115.0,275.0,6.0,1.0,3.0,9879.0,9717.0,181.0,204.0,2.0,75.0,145.0,25.622775800711743,11.387900355871887,38.43416370106762,2.491103202846975,5.338078291814947,13.167259786476869,3.202846975088968,0.35587188612099646
55,288.0,85.0,24.0,118.0,7.0,20.0,24.0,8.0,2.0,124.0,279.0,9.0,1.0,1.0,9916.0,9756.0,227.0,222.0,7.0,59.0,142.0,29.51388888888889,8.333333333333334,40.97222222222222,2.4305555555555554,6.944444444444445,8.333333333333334,2.7777777777777777,0.6944444444444444
56,292.0,81.0,22.0,105.0,13.0,25.0,36.0,8.0,2.0,114.0,279.0,13.0,1.0,4.0,9571.0,9408.0,196.0,208.0,3.0,81.0,141.0,27.73972602739726,7.534246575342466,35.95890410958904,4.4520547945205475,8.561643835616438,12.32876712328767,2.73972602739726,0.684931506849315
57,270.0,65.0,17.0,119.0,8.0,18.0,35.0,8.0,0.0,130.0,261.0,9.0,1.0,1.0,9940.0,9780.0,180.0,188.0,5.0,77.0,154.0,24.074074074074073,6.296296296296297,44.074074074074076,2.962962962962963,6.666666666666667,12.962962962962964,2.962962962962963,0.0
58,187.0,47.0,16.0,71.0,3.0,14.0,28.0,8.0,0.0,109.0,180.0,7.0,0.0,4.0,9906.0,9744.0,152.0,140.0,2.0,45.0,99.0,25.13368983957219,8.556149732620321,37.967914438502675,1.6042780748663101,7.4866310160427805,14.973262032085561,4.278074866310161,0.0
