,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28
71,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,14.0,15.0,12.0,13.0,13.0,13.0,14.0,8.0,11.0,10.0,10.0,9.0,10.0,11.0,12.0,11.0,14.0,12.0,14.0
72,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,8.0,11.0,11.0,12.0,14.0,11.0,13.0,13.0,9.0,10.0,10.0,11.0,10.0,9.0,11.0,13.0,10.0,9.0,11.0,12.0
73,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,12.0,7.0,12.0,14.0,9.0,13.0,10.0,10.0,8.0,12.0,12.0,9.0,10.0,12.0,12.0,9.0,9.0,13.0,12.0
74,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,13.0,7.0,12.0,15.0,10.0,13.0,12.0,10.0,8.0,14.0,13.0,12.0,11.0,12.0,12.0,12.0,9.0,13.0,11.0
75,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,11.0,7.0,10.0,15.0,11.0,14.0,13.0,11.0,10.0,17.0,13.0,11.0,13.0,13.0,12.0,11.0,13.0,10.0,8.0
76,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,14.0,14.0,12.0,12.0,12.0,14.0,13.0,9.0,13.0,14.0,11.0,12.0,10.0,13.0,12.0,13.0,14.0,8.0,8.0
77,2.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,6.0,16.0,17.0,13.0,9.0,12.0,14.0,14.0,12.0,16.0,10.0,10.0,9.0,10.0,13.0,10.0,12.0,14.0,9.0,11.0
78,2.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,7.0,16.0,14.0,16.0,11.0,13.0,13.0,11.0,13.0,16.0,8.0,8.0,11.0,10.0,12.0,10.0,13.0,11.0,12.0,14.0
79,2.0,2.0,3.0,0.0,2.0,2.0,0.0,2.0,8.0,15.0,12.0,15.0,11.0,14.0,13.0,10.0,14.0,14.0,8.0,9.0,12.0,11.0,11.0,11.0,12.0,10.0,11.0,12.0
80,2.0,3.0,3.0,0.0,3.0,3.0,2.0,2.0,5.0,13.0,12.0,13.0,14.0,11.0,12.0,10.0,12.0,12.0,12.0,10.0,12.0,13.0,12.0,12.0,10.0,10.0,12.0,13.0
81,3.0,4.0,3.0,0.0,3.0,1.0,3.0,1.0,3.0,13.0,16.0,9.0,15.0,11.0,14.0,11.0,14.0,11.0,15.0,12.0,13.0,14.0,12.0,10.0,11.0,11.0,13.0,11.0
82,3.0,4.0,4.0,1.0,4.0,1.0,3.0,2.0,5.0,12.0,15.0,8.0,14.0,8.0,12.0,14.0,12.0,9.0,13.0,16.0,11.0,13.0,14.0,11.0,11.0,13.0,14.0,13.0
83,3.0,5.0,5.0,1.0,5.0,1.0,5.0,2.0,8.0,16.0,15.0,12.0,11.0,12.0,13.0,17.0,14.0,11.0,12.0,14.0,14.0,10.0,13.0,12.0,14.0,12.0,12.0,13.0
84,3.0,5.0,6.0,2.0,7.0,2.0,5.0,3.0,8.0,12.0,12.0,15.0,9.0,14.0,12.0,16.0,10.0,9.0,9.0,12.0,12.0,11.0,14.0,14.0,13.0,12.0,11.0,11.0
85,3.0,5.0,6.0,4.0,7.0,5.0,5.0,3.0,7.0,10.0,12.0,15.0,10.0,16.0,13.0,13.0,12.0,10.0,12.0,6.0,15.0,11.0,10.0,14.0,15.0,13.0,10.0,11.0
86,3.0,6.0,7.0,4.0,6.0,6.0,8.0,5.0,4.0,8.0,11.0,10.0,12.0,14.0,12.0,11.0,11.0,10.0,13.0,10.0,12.0,13.0,10.0,16.0,12.0,10.0,11.0,13.0
87,6.0,6.0,10.0,4.0,6.0,9.0,6.0,4.0,5.0,12.0,12.0,10.0,12.0,11.0,14.0,13.0,14.0,15.0,16.0,14.0,12.0,13.0,10.0,16.0,10.0,10.0,13.0,11.0
88,8.0,6.0,11.0,4.0,5.0,9.0,6.0,3.0,6.0,13.0,13.0,10.0,11.0,10.0,11.0,11.0,14.0,15.0,13.0,13.0,10.0,13.0,13.0,12.0,8.0,10.0,13.0,12.0
89,10.0,10.0,11.0,5.0,6.0,10.0,7.0,3.0,7.0,12.0,12.0,14.0,12.0,9.0,12.0,12.0,12.0,14.0,11.0,11.0,12.0,12.0,14.0,9.0,8.0,13.0,13.0,13.0
90,10.0,10.0,11.0,6.0,6.0,10.0,7.0,2.0,7.0,10.0,13.0,16.0,12.0,13.0,11.0,13.0,13.0,9.0,10.0,12.0,13.0,12.0,14.0,10.0,9.0,15.0,13.0,15.0
91,11.0,13.0,11.0,6.0,7.0,8.0,8.0,2.0,4.0,8.0,14.0,12.0,13.0,15.0,14.0,11.0,11.0,9.0,10.0,13.0,12.0,10.0,12.0,11.0,12.0,14.0,12.0,10.0
92,13.0,14.0,12.0,8.0,9.0,10.0,8.0,3.0,4.0,9.0,14.0,13.0,12.0,15.0,17.0,11.0,10.0,10.0,11.0,15.0,11.0,12.0,11.0,15.0,11.0,14.0,11.0,10.0
93,13.0,14.0,11.0,8.0,10.0,12.0,9.0,3.0,3.0,12.0,15.0,13.0,10.0,13.0,16.0,9.0,11.0,14.0,11.0,12.0,12.0,11.0,12.0,11.0,10.0,13.0,12.0,9.0
