,susceptible_mean,exposed_mean,mild_mean,severe_mean,recovered_mean,asymptomatic_mean,symptomatic_mean,susceptible_ci_lower,exposed_ci_lower,mild_ci_lower,severe_ci_lower,recovered_ci_lower,asymptomatic_ci_lower,symptomatic_ci_lower,susceptible_ci_upper,exposed_ci_upper,mild_ci_upper,severe_ci_upper,recovered_ci_upper,asymptomatic_ci_upper,symptomatic_ci_upper
215,232.54,0.19,0.03,0.06,4.06,0.02,0.09,200.85,0.0,0.0,0.0,4.0,0.0,0.0,262.19999999999993,2.5249999999999915,0.5249999999999915,1.0,5.0,0.0,1.0
216,233.6,0.23,0.02,1.06,4.07,0.04,1.08,203.85,0.0,0.0,1.0,4.0,0.0,1.0,262.0,2.5249999999999915,0.0,2.0,5.0,1.0,2.0
217,232.28,0.22,0.06,1.07,4.07,0.05,1.13,202.95,0.0,0.0,1.0,4.0,0.0,1.0,259.525,2.0,1.0,2.0,5.0,1.0,2.0
218,231.26,0.19,0.06,1.07,4.07,0.06,1.13,204.95,0.0,0.0,1.0,4.0,0.0,1.0,256.04999999999995,2.0,1.0,2.0,5.0,1.0,2.0
219,232.01,0.2,0.07,1.07,4.06,0.07,1.14,205.95,0.0,0.0,1.0,4.0,0.0,1.0,261.525,2.0,1.0,2.0,5.0,1.0,2.0
220,232.14,0.18,0.09,1.06,4.07,0.07,1.15,200.375,0.0,0.0,1.0,4.0,0.0,1.0,259.04999999999995,1.5249999999999915,1.0,2.0,5.0,1.0,2.0
221,231.69,0.22,0.07,1.07,4.07,0.1,1.14,205.0,0.0,0.0,1.0,4.0,0.0,1.0,262.525,1.0,1.0,2.0,5.0,1.0,2.0
222,232.49,0.25,0.08,1.07,4.07,0.05,1.15,205.475,0.0,0.0,1.0,4.0,0.0,1.0,261.0,2.0,1.0,2.0,5.0,1.0,2.5249999999999915
223,232.21,0.23,0.08,1.07,4.07,0.03,1.15,202.9,0.0,0.0,1.0,4.0,0.0,1.0,259.0,2.5249999999999915,1.0,2.0,5.0,0.5249999999999915,2.5249999999999915
224,232.82,0.15,0.08,1.08,4.07,0.04,1.16,208.475,0.0,0.0,1.0,4.0,0.0,1.0,259.62499999999994,2.5249999999999915,1.0,2.0,5.0,1.0,2.0
225,234.23,0.16,0.08,1.08,4.07,0.04,1.16,210.95,0.0,0.0,1.0,4.0,0.0,1.0,262.525,2.0,1.0,2.0,5.0,1.0,2.0
226,233.04,0.15,0.09,0.08,4.07,0.04,0.17,208.0,0.0,0.0,0.0,4.0,0.0,0.0,259.0,1.5249999999999915,1.0,1.0,5.0,1.0,1.0
227,232.03,0.12,0.08,0.09,4.07,0.05,0.17,206.475,0.0,0.0,0.0,4.0,0.0,0.0,257.04999999999995,1.0,1.0,1.0,5.0,1.0,1.0
228,230.75,0.13,0.07,0.08,4.08,0.05,0.15,200.425,0.0,0.0,0.0,4.0,0.0,0.0,254.0,1.0,1.0,1.0,5.0,1.0,1.0
229,232.05,0.2,0.08,0.06,4.09,0.1,0.14,202.475,0.0,0.0,0.0,4.0,0.0,0.0,256.525,2.0,1.0,1.0,5.0,1.0,1.0
230,231.5,0.21,0.09,0.06,4.1,0.08,0.15,207.0,0.0,0.0,0.0,4.0,0.0,0.0,254.62499999999994,2.0,1.0,1.0,5.0,1.0,1.0
231,231.61,0.25,0.05,0.05,3.12,0.12,0.1,206.0,0.0,0.0,0.0,3.0,0.0,0.0,256.525,2.0,1.0,1.0,4.0,1.0,1.0
232,231.14,0.29,0.05,0.05,3.12,0.13,0.1,210.475,0.0,0.0,0.0,3.0,0.0,0.0,254.52499999999998,2.0,1.0,1.0,4.0,1.0,1.0
233,231.39,0.23,0.04,0.06,3.12,0.18,0.1,209.475,0.0,0.0,0.0,3.0,0.0,0.0,260.67499999999995,2.0,0.5249999999999915,1.0,4.0,1.0,1.0
234,230.29,0.26,0.04,0.05,3.08,0.18,0.09,209.475,0.0,0.0,0.0,3.0,0.0,0.0,260.525,2.0,1.0,1.0,4.0,1.0,1.0
235,231.07,0.29,0.05,0.05,3.1,0.14,0.1,206.8,0.0,0.0,0.0,3.0,0.0,0.0,255.04999999999998,2.0,1.0,1.0,4.0,1.0,1.0
236,231.03,0.33,0.06,0.05,3.09,0.11,0.11,208.475,0.0,0.0,0.0,3.0,0.0,0.0,255.0,2.0,1.0,1.0,4.0,1.0,1.0
237,231.75,0.32,0.09,0.05,3.09,0.08,0.14,205.475,0.0,0.0,0.0,3.0,0.0,0.0,258.0,2.5249999999999915,1.0,1.0,4.0,1.0,1.0
238,231.76,0.28,0.09,0.06,3.09,0.07,0.15,204.475,0.0,0.0,0.0,3.0,0.0,0.0,260.09999999999997,2.5249999999999915,1.0,1.0,4.0,1.0,1.0
